video_id,channel_id,views,likes,comments,shares,subscribers_gained,estimated_revenue,avg_view_pct,avg_view_duration
UaP-U-thY-U,UCxxl4xdZZqRSSz2VfnFBhwA,91,0,0,0,0,0.121,8.35,72.99
UbGgrbQbsVg,UC3o699rmxlcc6EJzt6emA-Q,80,0,0,0,0,0.0,77.79,35.17
UcmYGJAGotE,UCSlOhfr5f-RPRP50yRri1uA,16,0,0,0,0,0.0,0.76,8.0
Ud8KIr1v04A,UCc-V01UlW1n8eGLpATLA5gw,1,0,0,0,0,0.0,0.0,0.0
UdYhwffIJOA,UCk2O5vfW3c_W5YWQ_BoD1Ug,195995,2696,3,59,391,10.414,40.01,62.65
UeRT0xW7_Es,UCLQ4NoTptaCDG4nUvDLtUoQ,1869,2,0,0,4,0.105,29.9,20.0
UexV_DM9Z7s,UCxxl4xdZZqRSSz2VfnFBhwA,54,0,0,0,0,0.131,8.78,157.56
UfYiUN5erxM,UCf3lAEw_WPtcgHMUVAunzSw,298,0,0,0,0,0.074,119.89,154.99
Ug72Dj0LgkU,UC2IjY1Gm6b7pYp-vMJ2R9ig,3,0,0,0,0,0.001,101.51,14.67
UheV5yxV424,UCTGoaBFABIBLXcqXzCM5D3A,86,0,0,0,0,0.0,6.54,297.63
UhzSNOnSdpo,UCl_Nqhf2SGNwv4uvbvs3upg,178,1,0,0,0,0.006,142.18,42.25
UiF6MaFN4oQ,UCJw9px5fOp-nwJG6g4gN1ng,472,8,0,0,0,0.071,69.9,20.66
UjAfAXh9_2g,UC77WdDKy6cbCxZkC46eaudA,186,3,0,0,0,0.017,6.48,61.61
UjBT0NkCXcA,UCc-V01UlW1n8eGLpATLA5gw,9,0,0,0,0,0.0,21.5,14.67
UjNsEPmiA04,UCm3RYOItKT_P0-oRCkkSMZw,107,1,0,0,0,0.239,17.93,244.18
UjxiPsx1Hwc,UC2IjY1Gm6b7pYp-vMJ2R9ig,703,10,1,1,1,0.762,5.34,193.92
Uk38AEnqD3M,UCf3lAEw_WPtcgHMUVAunzSw,298,0,0,0,0,0.074,80.65,13.95
Uk5CQfUodXM,UCxhHKduxLRNAOC_GUHPPf1Q,2,0,0,0,0,0.0,0.49,12.0
UkD1jBrILYc,UCJw9px5fOp-nwJG6g4gN1ng,108,0,0,0,0,0.014,79.52,24.15
Uoxsz-CTTbM,UCHONLLEtQ4f9yoqa1BWlhSg,1,0,0,0,0,0.0,0.0,0.0
UqvDXrL_24U,UCsbnInDepLdq6o781WVZ-5g,1391,8,0,7,0,1.249,16.91,220.48
UrfI_59jZmc,UCxfDVRNK6SoN59v_t3ZJ33A,10,0,0,0,0,0.002,21.17,215.8
Urno_WFA83I,UCctSzoeee7KCnR84dZ6IO7w,1,0,0,0,0,0.0,0.0,0.0
Utu0Z_RluBE,UCbnCFV5_c-nGiEQN1anEO5A,19,0,0,0,0,0.0,0.26,2.84
UuSjZAvdUYk,UCc-V01UlW1n8eGLpATLA5gw,10,0,0,0,0,0.002,8.69,584.2
UwNhp1Wer78,UCnwjt6PgkKuZC4S1A0yTOFQ,9,0,0,0,0,0.007,27.02,370.0
Uwwr6OS7X-g,UCTqUiADoXl9Cq74vCP4FJCQ,493,11,0,0,0,0.0,29.96,18.39
